customer_id,age,tenure_months,contract_type,payment_method,paperless_billing,international_plan,avg_monthly_gb,support_tickets_6m,outages_3m,late_payments_12m,app_sessions_30d,add_ons,monthly_charges,total_charges,churn
C100000,27,6,one-year,electronic-check,no,no,7.46,0,1,0,17,1,43.98,331.21,0
C100001,21,56,month-to-month,bank-transfer,yes,no,35.68,1,0,0,8,1,29.4,1685.53,1
C100002,55,47,month-to-month,bank-transfer,no,no,36.72,2,0,4,8,0,25.76,,0
C100003,68,32,month-to-month,bank-transfer,yes,no,62.67,2,0,0,15,1,77.45,2488.93,0
C100004,33,31,month-to-month,mailed-check,no,no,8.36,1,0,0,15,0,28.32,879.76,0
C100005,23,62,month-to-month,bank-transfer,yes,no,50.96,3,0,1,20,1,59.05,3678.02,0
C100006,18,6,month-to-month,mailed-check,yes,no,4.46,1,2,1,14,0,68.71,,0
C100007,36,50,month-to-month,electronic-check,no,no,37.58,1,1,2,21,1,37.79,1961.32,0
C100008,35,14,month-to-month,mailed-check,no,no,42.55,0,0,0,21,1,63.7,947.75,0
C100009,31,6,one-year,bank-transfer,yes,no,36.51,1,0,0,9,2,67.08,440.01,0
C100010,42,38,two-year,electronic-check,yes,no,5.88,1,0,1,26,0,36.86,1392.94,0
C100011,44,71,one-year,electronic-check,yes,no,48.83,1,0,0,18,1,71.53,5176.27,0
C100012,43,53,one-year,credit-card,no,no,89.09,1,0,2,15,2,76.01,4102.8,0
C100013,35,55,two-year,credit-card,yes,no,9.35,1,0,3,10,3,86.43,4788.65,1
C100014,26,52,month-to-month,bank-transfer,yes,no,17.14,2,1,0,20,0,55.41,2921.24,1
C100015,47,57,one-year,credit-card,yes,no,12.29,1,0,0,15,1,61.86,3653.87,0
C100016,39,37,month-to-month,credit-card,no,no,32.55,1,0,0,14,0,61.29,2365.27,1
C100017,50,9,month-to-month,bank-transfer,no,no,15.28,0,1,2,8,0,71.16,713.65,0
C100018,48,61,month-to-month,electronic-check,no,no,33.87,0,0,1,10,2,93.86,5832.63,0
C100019,22,32,month-to-month,bank-transfer,no,no,19.11,1,0,1,9,2,82.04,2691.96,0
C100020,22,36,one-year,credit-card,yes,no,23.8,0,0,3,7,1,73.9,2724.72,0
C100021,30,27,month-to-month,bank-transfer,yes,no,21.47,0,0,0,14,2,64.6,1769.08,0
C100022,26,13,one-year,electronic-check,yes,no,4.61,0,0,3,11,1,61.92,842.97,0
C100023,48,67,two-year,credit-card,yes,no,22.95,3,0,2,15,1,72.27,4931.83,1
C100024,43,57,month-to-month,bank-transfer,no,no,6.05,0,1,0,19,0,58.32,3432.52,0
